time,Herenciagrupo,JBALVIN,crewpeligrosos,alkilados,monsieurperine,KevinFlorezMusc,bombaestereo,ndreaEcheverri,MALUMACOLOMBIA,LosPetitFellas,Diamantelectric,carlosvives,SilvestreFDC,Esteman,DoctorKrapula,REYKON_,WOLFINE98,freakycolectivo,CabasMusica,AndresCepeda1,LA33Orquesta,Calidandee,TribuBaharu,chocquibtown,jiggydrama,LosCandelarios,ilona_antante,maiamusical,AdrianaLucia_,mariamulatas,PipeBueno,LucasArnau,PASABORDO,piso21music,MojitoLite,sebastianyepes,MAUROPALODEAGUA,Guayacanoficial,gruponiche,Mambanegralatin,consupopular,YoungF_ElPrefe,mirandasoulband,Angelikaproject
1380131596133,4986,2048988,7232,127580,86686,30384,113739,19493,726407,4361,1959,2031961,995748,66,254335,817142,89870,6470,55255,1045675,27152,265205,493,779104,230003,9406,11316,125342,226952,2699,663978,406540,407299,89566,13668,198114,94111,12013,71334,859,1735,2921,52086,930
1380132855023,4986,2049022,7233,127587,86686,30386,113744,19495,726435,4360,1959,2032063,995777,66,254338,817166,89875,6470,55253,1045724,27154,265213,493,779113,230003,9407,11316,125343,226952,2701,663987,406548,407308,89569,13676,198116,94110,12015,71335,859,1735,2921,52088,930
1380136427203,4990,2049172,7235,127612,86689,30392,113755,19499,726602,4361,1960,2032358,995932,66,254352,817276,89877,6472,55254,1045898,27156,265239,493,779131,230005,9407,11320,125352,226962,2702,664021,406558,407352,89572,13684,198117,94110,12026,71339,859,1736,2922,52096,930
1380140043811,4990,2049338,7235,127631,86693,30407,113767,19504,726781,4361,1961,2032655,996061,66,254362,817362,89884,6473,55255,1046082,27156,265254,493,779142,230004,9407,11321,125359,226965,2702,664075,406569,407398,89579,13700,198122,94108,12040,71346,859,1736,2921,52100,930
1380143653882,4990,2049496,7236,127647,86693,30423,113775,19514,726957,4361,1960,2032962,996201,66,254371,817462,89890,6473,55258,1046275,27160,265271,493,779160,230000,9408,11322,125372,226964,2702,664129,406586,407440,89594,13711,198126,94107,12045,71351,859,1735,2924,52102,930
1380147275490,4990,2049632,7238,127668,86700,30434,113789,19512,727134,4363,1960,2033251,996319,66,254383,817562,89901,6475,55258,1046455,27161,265300,493,779171,229999,9409,11324,125376,226968,2703,664178,406587,407488,89604,13722,198128,94109,12049,71355,859,1737,2926,52106,930
1380150831926,4989,2049809,7239,127685,86702,30441,113789,19514,727335,4364,1961,2033568,996430,66,254379,817680,89908,6476,55258,1046646,27165,265316,493,779189,229993,9410,11324,125385,226973,2704,664213,406589,407539,89619,13727,198130,94106,12052,71358,859,1737,2927,52114,930
1380154451926,4990,2049966,7239,127703,86704,30447,113800,19520,727513,4367,1962,2033851,996568,66,254383,817797,89909,6477,55256,1046849,27169,265329,494,779192,229993,9411,11325,125398,226976,2704,664262,406601,407591,89630,13733,198146,94102,12058,71367,859,1737,2929,52119,930
1380161654965,4992,2050264,7240,127734,86714,30463,113805,19532,727848,4373,1961,2034475,996867,66,254398,817997,89925,6477,55256,1047473,27176,265351,494,779206,229984,9413,11325,125429,226993,2707,664345,406633,407671,89671,13754,198148,94101,12074,71381,859,1737,2932,52154,931
1380165261205,4992,2050407,7238,127747,86722,30477,113808,19532,728456,4374,1960,2034742,996986,66,254391,818082,89931,6477,55255,1047685,27180,265359,494,779224,229980,9411,11327,125446,226995,2706,664381,406639,407707,89679,13768,198151,94099,12084,71391,859,1737,2934,52175,931
